"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"loading_bg/login_layer_F_4_marathon";"Operation S.U.M.M.E.R. — 2018";"Operation S.U.M.M.E.R. — 2018";"Operazione S.U.M.M.E.R. — 2018";"Operation S.U.M.M.E.R. — 2018";"Operación S.U.M.M.E.R. — 2018";"Операция Л.Е.Т.О. — 2018";"Operacja L.A.T.O. – 2018";"Operace L.É.T.O. — 2018";"Operation S.U.M.M.E.R. — 2018";"夏\t日\t总\t动\t员 2018";"Operation S.U.M.M.E.R. — 2018";"Operação S.U.M.M.E.R. — 2018";"Операція Л.І.Т.О. — 2018";"Operation S.U.M.M.E.R. — 2018";"S.U.M.M.E.R. hadművelet - 2018";"작전명 S.U.M.M.E.R. — 2018";"Аперацыя Л.Е.Т.А. — 2018";"Operation S.U.M.M.E.R. — 2018";"夏\t日\t總\t動\t員 2018";"S.U.M.M.E.R.\t行\t动 — 2018";"Chiến dịch S.U.M.M.E.R. — 2018";;
"loading_bg/login_layer_173_narv";"French Air Forces";"Aviation Française (S.O.8000 Narval)";"S.O.8000 Narval";"Französisches Flugzeug (S.O.8000 Narval)";"Aeronave Francesa (S.O.8000 Narval)";"Авиация Франции (S.O.8000 Narval)";"Samolot francuski (S.O.8000 Narval)";"Francouzský letoun (S.O.8000 Narval)";"Fransız Uçağı (S.O.8000 Narval)";"法\t国\t空\t军 - SO.8000 独\t角\t鲸";"フランスの\t航空機（SO.8000 ナルヴァル）";"Aeronave Francesa (S.O.8000 Narval)";"Авіація Франції (S.O.8000 Narval)";"French Aircraft (S.O.8000 Narval)";"Francia repülőgép (S.O.8000 Narval)";"프랑스 항공기 (S.O.8000 나르발)";"Авіяцыя Францыі (S.O.8000 Narval)";"French Aircraft (S.O.8000 Narval)";"法\t國\t空\t軍\t（SO.8000\t“獨\t角\t鯨”）";"F\t系\t飞\t机 (S.O.8000 Narval)";"French Aircraft (S.O.8000 Narval)";;
"loading_bg/login_layer_wt_6_years";"6th Anniversary of War Thunder";"6e Anniversaire de War Thunder";"6° Anniversario di War Thunder";"6. Geburtstag von War Thunder";"6° Aniversario de War Thunder";"6 лет War Thunder";"6 rocznica premiery War Thunder";"Šesté výročí War Thunderu";"War Thunder'ın 6. Yıl Dönümü";"War Thunder 六\t周\t年";"『War Thunder』\tの\t6周年記念";"6º Aniversário do War Thunder";"6 років War Thunder";"6th Anniversary of War Thunder";"A War Thunder 6. évfordulója";"워썬더 6주년";"6 гадоў War Thunder";"6th Anniversary of War Thunder";"War Thunder 六\t周\t年";"战\t争\t雷\t霆\t六\t周\t年";"Kỉ niệm 6 năm War Thunder";;
"loading_bg/login_layer_stormer_hvm";"F.V.4333 (HVM)";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"突\t击\t者\t/HVM";"ストーマー HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"Stormer HVM";"스토머 HVM";"Stormer HVM";"Stormer HVM";"星\t光 HVM";"“突\t击\t者”\t/\t“星\t光”";"Stormer HVM";;
"loading_bg/login_layer_f_4_phantom";"F-4C-25-MC Phantom";"F-4 Phantom";"F-4 Phantom";"F-4C Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 鬼\t怪 II";"F-4 ファントム";"F-4 Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 Phantom";"F-4 팬텀";"F-4 Phantom";"F-4 Phantom";"F-4 幽\t靈\tII";"F-4 “鬼\t怪”";"F-4 Phantom";;
"loading_bg/login_layer_1_93_mangusta";"AH-129C Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT 猫\t鼬";"A.129CBT マングスタ";"A129CBT Mangusta";"A129CBT «Mangusta»";"A129CBT Mangusta";"A129 CBT Mangusta";"A129CBT 망구스타";"A129CBT Mangusta";"A129CBT Mangusta";"A129CBT 貓\t鼬";"A129CBT “猫\t鼬”";"A129CBT Mangusta";;
"loading_bg/login_layer_us_1_65";"F6F-5 Hellcat and F6F-5N Hellcat";"F6F Bearcat";"F6F-5 Hellcat";"F6F-5 Hellcat";"F8F Bearcat";"F6F-5 Hellcat";"F8F Bearcat";"F6F-5 Hellcat";"F6F-5 Hellcat";"F6F-5 地\t狱\t猫";"F8F ベアキャット";"F8F Bearcat";"F6F-5 Hellcat";"F8F Bearcat";"F6F-5 Hellcat";"F6F-5 헬캣";"F6F-5 Hellcat";"F8F Bearcat";"F8F 熊\t貓";"F8F “熊\t猫”";"F6F-5 Hellcat";;
"loading_bg/login_layer_p51_1_71";"P-51H-10-NA Mustang and XA-38-BH Grizzly";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 野\t马";"P-51 マスタング";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 Mustang";"P-51 머스탱";"P-51 Mustang";"P-51 Mustang";"P-51 野\t馬";"P-51 “野\t马”";"P-51 Mustang";;
"loading_bg/login_layer_saab_j29d";"J 29 D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J 29D 圆\t桶";"J29D トゥンナン";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D Tunnan";"J29D 툰난";"J29D Tunnan";"J29D Tunnan";"J 29D";"J29D “圆\t桶”";"J29D Tunnan";;
"loading_bg/login_layer_it_g91";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91 R/4";"G.91R/4";"G.91 R/4";;
"loading_bg/login_layer_bmp3";"BMP-3 and Ka-50 Black Shark";"BMP-3";"BMP-3";"BMP-3";"BMP-3";"БМП-3";"BMP-3";"BMP-3";"BMP-3";"BMP-3";"BMP-3";"BMP-3";"БМП-3";"BMP-3";"BMP-3";"BMP-3";"БМП-3";"BMP-3";"BMP-3";"BMP-3";"BMP-3";;
"loading_bg/login_layer_rooikat76";"Rooikat Mk. 1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"大\t山\t猫 Mk 1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"Rooikat Mk. 1D";"루이카트 Mk.1D";"Rooikat Mk.1D";"Rooikat Mk.1D";"獰\t貓 Mk.1D";"“大\t山\t猫”\tMk 1D";"Rooikat Mk.1D";;
"loading_bg/login_layer_swedish_aircrafts";"Swedish Air Forces";"Aviation Suédoise";"Aerei Svedesi";"Schwedisches Flugzeug";"Avión sueco";"Авиация Швеции";"Samoloty szwedzkie";"Švédské letectvo";"İsveç Uçağı";"瑞\t典\t空\t军";"スウェーデンの\t航空機";"Aeronave Sueca";"Авіація Швеції";"Swedish Aircraft";"Svéd repülőgép";"스웨덴 항공기";"Авіяцыя Швецыі";"Swedish Aircraft";"瑞\t典\t空\t軍";"SW\t系\t飞\t机";"Máy bay Thụy Điển";;
"loading_bg/login_layer_saab_j32b";"J 32 B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J 32B 长\t矛";"J32B ランセン";"J32B Lansen";"J32B Lansen";"J32B Lansen";"J 32B Lansen";"J32B 란센";"J32B Lansen";"J32B Lansen";"J32B 長\t矛";"J 32B\t“长\t矛”";"J32B Lansen";;
"loading_bg/login_layer_ah_64d";"AH-64D Apache";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D";"AH-64D\t“长\t弓\t阿\t帕\t奇”";"AH-64D";;
"loading_bg/login_layer_sw_tanks";"Swedish Ground Forces";"Forces Terrestres suédoises";"Forze Corazzate Svedesi";"Schwedische Landstreitkräfte";"Fuerzas Terrestres Suecas";"Бронетехника Швеции";"Szwedzkie siły lądowe";"Švédské pozemní síly";"İsveç Kara Kuvvetleri";"瑞\t典\t陆\t军";"スウェーデンの\t地上車両";"Forças Terrestres Suecas";"Бронетехніка Швеції";"Swedish Ground Forces";"Svéd szárazföldi erők";"스웨덴 지상군";"Шведскія сухапутныя войскі ";"Swedish Ground Forces";"瑞\t典\t陸\t軍";"SW\t系\t陆\t军";"Lục quân Thụy Điển";;
"loading_bg/login_layer_saab_j35";"J 35 D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J35D Draken";"J 35D 龙";"J35D ドラケン";"J35D Draken";"J35D Draken";"J35D Draken";"J 35D Draken";"J35D 드라켄";"J35D Draken";"J35D Draken";"J35D 龍";"J 35D\t“龙”";"J35D Draken";;
"loading_bg/login_layer_1_97_strf_90c";"strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"9040C 型\t战\t车";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"Strf 9040C";"9040C 型\t战\t车";"Strf 9040C";;
"loading_bg/login_layer_ka_52";"Ka-52 Alligator";"Ka-52";"Ka-52";"Ka-52";"Ka-52";"Ка-52";"Ka-52";"Ka-52";"Ka-52";"卡\t-52";"Ka-52";"Ka-52";"Ка-52";"Ka-52";"Ka-52";"Ka-52";"Ка-52";"Ka-52";"Ka-52";"卡\t-52\t“短\t吻\t鳄”";"Ka-52";;
"loading_bg/login_layer_object_279";"Ob. 279 and Tortoise";"Objet 279";"Objekt 279";"Object 279";"Object 279";"Объект 279";"Object 279";"Objekt 279";"Object 279";"279 工\t程";"オブイェークト 279";"Object 279";"Об'єкт 279";"Object 279";"Objekt 279";"오비옉트 279";"Аб'ект 279";"Object 279";"279 工\t程";"279 工\t程";"Object 279";;
"loading_bg/login_layer_1_04_20";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"太\t空\t雷\t霆";"スペースサンダー";"Space Thunder";"Space Thunder";"Space Thunder";"Space Thunder";"우주 썬더";"Space Thunder";"Space Thunder";"太\t空\t雷\t霆";"宇\t宙\t雷\t霆";"Space Thunder";;
"loading_bg/login_layer_trento";"Trento";"Trento";"RN Trento";"Trento";"Trento";"Trento";"Trento";"Trento";"Trento";"特\t伦\t托\t号\t重\t巡\t洋\t舰";"トレント";"Trento";"Trento";"Trento";"Trento";"트렌토";"Trento";"Trento";"“特\t倫\t頓”\t號\t重\t巡\t洋\t艦";"“特\t伦\t托”\t号\t重\t巡\t洋\t舰";"Trento";;
"loading_bg/login_layer_khrizantema";"9P157-2";"Khrizantema-S";"Khrizantema-S";"Khrizantema-S";"Khrizantema-S";"Хризантема-С";"Chrizantiema-S";"Chrizantema-S";"Khrizantema-S";"菊\t花\t-S";"フリザンテーマ-S";"Khrizantema-S";"Хризантема-С";"Khrizantema-S";"Hrizantyema-Sz";"흐리잔테마-S";"Хрызантэма-С";"Khrizantema-S";" 菊\t花\t-S";"9P157-2\t“菊\t花”\t-S";"Khrizantema-S";;
"loading_bg/login_layer_mirage_3c";"Mirage III C";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"幻\t影 IIIC";"ミラージュ IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"Mirage IIIC";"미라주 IIIC";"Mirage IIIC";"Mirage IIIC";"幻\t象 IIIC";"“幻\t影”\tIIIC";"Mirage IIIC";;
"loading_bg/login_layer_t72b";"T-72B (Kontakt-5) and Mi-28N";"T-72B";"T-72B";"T-72B";"T-72B";"Т-72Б";"T-72B";"T-72B";"T-72B";"T-72B";"T-72B";"T-72B";"Т-72Б";"T-72B";"T-72B";"T-72B";"Т-72Б";"T-72B";"T-72B";"T-72B";"T-72B";;
"loading_bg/login_layer_g5_e";"Q5";"Q-5";"Q-5 (1969)";"Q-5 Früh";"Q-5 inicial";"Q-5 early";"Q-5 wczesny";"Q-5 early";"Q-5 early";"强\t-5 基\t本\t型";"南昌\tQ-5 初期型";"Q-5 early";"Q-5 early";"Q-5 early";"Q-5 (korai)";"Q-5 초기형";"Q-5 early";"Q-5 early";"強\t-5 基\t本\t型";"强\t-5 基\t本\t型";"Q-5 đời đầu";;
"loading_bg/login_layer_northampton";"USS Northampton (CA-27)";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"北\t安\t普\t敦\t号\t重\t巡\t洋\t舰";"USS\tノーザンプトン";"USS Northampton";"USS Northampton";"USS Northampton";"USS Northampton";"USS 노스햄프턴";"USS Northampton";"USS Northampton";"北\t安\t普\t頓";"USS “北\t安\t普\t顿”\t号";"USS Northampton";;
"loading_bg/login_layer_jaguar";"Jaguar G.R. Mk. 1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"美\t洲\t虎 GR.1";"ジャギュア GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"Jaguar GR.1";"재규어 GR.1";"Jaguar GR.1";"Jaguar GR.1";"美\t洲\t豹 GR.1";"美\t洲\t虎 GR.1";"Jaguar GR.1";;
"loading_bg/login_layer_t90";"T-90A";"T-90A";"T-90A";"T-90A";"T-90A";"Т-90А";"T-90A";"T-90A";"T-90A";"T-90A";"T-90A";"T-90A";"Т-90А";"T-90A";"T-90A";"T-90A";"Т-90А";"T-90A";"T-90A";"T-90A";"T-90A";;
"loading_bg/login_layer_forrestal";"USS Forrestal (CV-59), A-4B Skyhawk, and F-3B Demon";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"福\t莱\t斯\t特\t号\t航\t空\t母\t舰";"USS フォレスタル";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS Forrestal";"USS 포레스탈";"USS Forrestal";"USS Forrestal";"福\t萊\t斯\t特";"“福\t莱\t斯\t特”\t号\t航\t空\t母\t舰";"USS Forrestal";;
"loading_bg/login_layer_battleship_dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"无\t畏\t号\t战\t列\t舰";"HMS\tドレッドノート";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS Dreadnought";"HMS 드레드노트";"HMS Dreadnought";"HMS Dreadnought";"無\t畏";"HMS “无\t畏”\t号\t战\t列\t舰";"HMS Dreadnought";;
"loading_bg/login_layer_harrier_gr1";"Harrier G.R. Mk. 1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"鹞 GR.1";"ハリアー GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"Harrier GR.1";"해리어 GR.1";"Harrier GR.1";"Harrier GR.1";"獵\t鷹 GR.1";"鹞\t式\t战\t斗\t机 GR.1";"Harrier GR.1";;
"loading_bg/login_layer_battlecruiser_von_der_tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"冯\t德\t坦\t恩\t号\t战\t列\t巡\t洋\t舰";"SMS フォン・デア・タン";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS Von der Tann";"SMS 폰 데어 탄";"SMS Von der Tann";"SMS Von der Tann";"馮·德·坦\t恩";"“冯\t德\t坦\t恩”\t号\t战\t列\t巡\t洋\t舰";"SMS Von der Tann";;
"loading_bg/login_layer_helicopters_it";"Italian Helicopters";"Hélicoptères italiens";"Elicotteri Italiani";"Italienische Hubschrauber";"Helicópteros italianos";"Вертолёты Италии";"Włoskie śmigłowce";"Italské vrtulníky";"İtalyan Helikopterleri";"意\t大\t利\t直\t升\t机";"イタリアの\tヘリコプター";"Helicópteros Italianos";"Гелікоптери Італії";"Italian Helicopters";"Olasz helikopterek";"이탈리아 헬리콥터";"Гелікоптэры Італіі";"Italian Helicopters";"義\t大\t利\t直\t升\t機";"I\t系\t直\t升\t机";"Italian Helicopters";;
"loading_bg/login_layer_atomic_tank";"The Atomic Tank";"Le Char Atomique";"Il Carro Atomico";"Der Atompanzer";"El tanque atómico";"Атомный танк";"Czołg Atomowy";"Nukleární tank";"Atomik Tank";"原\t子\t战\t车";"アトミックタンク";"O Tanque Atômico";"Атомний танк";"The Atomic Tank";"Az atomtank";"원자력 전차";"Атамны танк";"The Atomic Tank";"原\t子\t坦\t克";"原\t子\t战\t车";"The Atomic Tank";;
"loading_bg/login_layer_atomic_tank/desc";"Reward for 100th level of the ""Steel Centurion"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Steel Centurion""";"Ricompensa per il 100° livello della Stagione Battle Pass ""Centurione d'Acciaio""";"Belohnung für Stufe 100 der Battle Pass Season ""Steel Centurion""";"Recompensa por alcanzar el 100° nivel en la Temporada del Pase de Batalla ""Steel Centurion""";"Награда за 100-ый уровень сезона Боевого пропуска ""Стальной Центурион""";"Nagroda za osiągnięcie 100 poziomu Przepustki bitewnej „Stalowy Centurion”";"Odměna za 100. úroveň v sezóně Bitevního pasu ""Steel Centurion""";"""Steel Centurion"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “铁\t血\t百\t夫\t长”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「スチール・ケントゥリオン（Steel Centurion）」\tの\tレベル\t100\tの\t報酬";"Recompensa pelo 100º nível da Temporada do Battle Pass ""Steel Centurion""";"Нагорода за 100-й рівень сезону бойової перепустки «Сталевий центуріон»";"Reward for 100th level of the ""Steel Centurion"" Battle Pass Season";"Jutalom az Acél Centurio Battle Pass szezon 100. szintjének feloldásáért.";"""스틸 센츄리온"" 배틀 패스 시즌 100레벨 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Сталёвы Цэнтурыён""";"Reward for 100th level of the ""Steel Centurion"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “鋼\t鐵\t百\t夫\t長”\t賽\t季 100 級\t獎\t勵";"“钢\t铁\t百\t夫\t长”\t战\t斗\t通\t关\t季\t100\t级\t奖\t励";"Reward for 100th level of the ""Steel Centurion"" Battle Pass Season";;
"loading_bg/login_layer_m6a2e1";"M6A2E1-1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";"M6A2E1";;
"loading_bg/login_layer_m6a2e1/desc";"Reward for 100th level of the ""Strength Athletics"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Force athlétique""";"Ricompensa per il 100° livello della stagione Battle Pass ""Strongman""";"Belohnung für Stufe 100 des ""Kraftsport"" Battle Pass";"Recompensa por alcanzar el 100° nivel en la Temporada del Pase de Batalla ""Strength Athletics""";"Награда за 100-ый уровень сезона Боевого пропуска ""Силовая атлетика""";"Nagroda za osiągnięcie 100 poziomu Przepustki bitewnej „Ciężka Atletyka”";"Odměna za 100. úroveň v sezóně Bitevního pasu ""Silová atletika""";"""Strength Athletics"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “大\t力\t士\t竞\t技\t赛”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「ストレングス・アスレチックス（Strength Athletics）」\tの\tレベル\t100\tの\t報酬";"Recompensa por atingir o nível 100 da temporada do Battle Pass ""Strength Athletics""";"Нагорода за 100-й рівень сезону бойової перепустки «Силова атлетика»";"Reward for 100th level of the ""Strength Athletics"" Battle Pass Season";"Jutalom az ""Erőatlétika"" Battle Pass szezon századik szintjének feloldásáért.";"""Strength Athletics"" 배틀 패스 시즌 100레벨 보상";"Узнагарода за 100-ы ўзровень сезона Баевага пропуску ""Сілавая атлетыка""";"Reward for 100th level of the ""Strength Athletics"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “大\t力\t士\t競\t技\t賽”\t賽\t季 100 級\t獎\t勵";"战\t斗\t通\t行\t证 • “大\t力\t士\t竞\t技\t赛”\t赛\t季 100 级\t奖\t励";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Strength Athletics""";;
"loading_bg/login_layer_f_5a_rocaf";"☀ F-5A-25-NO Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A 自\t由\t战\t士";"F-5A フリーダム・ファイター";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A 프리덤 파이터";"F-5A Freedom Fighter";"F-5A Freedom Fighter";"F-5A\t“自\t由\t戰\t士”";"F-5A\t“自\t由\t战\t士”";"F-5A Freedom Fighter";;
"loading_bg/login_layer_su_17";"Su-17M4";"Su-17";"Su-17";"Su-17";"Su-17";"Су-17";"Su-17";"Su-17";"Su-17";"苏\t-17";"Su-17";"Su-17";"Су-17";"Su-17";"Su-17";"Su-17";"Су-17";"Su-17";"蘇\t-17";"Su-17";"Su-17";;
"loading_bg/login_layer_rsa_ground";"South African Ground Forces";"Forces Terrestres sud-africaines";"Forze Terrestri Sudafricane";"Südafrikanische Landstreitkräfte";"Fuerzas Terrestres Sudafricanas";"Бронетехника ЮАР";"Południowoafrykańskie siły lądowe";"Jihoafrické pozemní síly";"Güney Afrika Kara Kuvvetleri";"南\t非\t陆\t军";"南\tアフリカ\t陸軍";"Forças Terrestres Sul-Africanas";"Бронетехніка ПАР";"South African Ground Forces";"Dél-afrikai szárazföldi erők";"남아프리카 지상군";"Сухапутныя войскі Паўднёва-Афрыканскай Рэспублікі";"South African Ground Forces";"南\t非\t陸\t軍";"South African Ground Forces";"Lục quân Nam Phi";;
"loading_bg/login_layer_thunder_toon_air";"TailSpin";"TailSpin";"TailSpin";"TailSpin";"TailSpin";"Чудесные виражи";"TailSpin";"TailSpin";"TailSpin";"航\t空\t大\t英\t雄";"テイルスピン（TailSpin）";"TailSpin";"Чудові віражі";"TailSpin";"TailSpin";"빙글뱅글";"Цудоўныя віражы";"TailSpin";"航\t空\t小\t英\t雄";"《航\t空\t大\t英\t雄\t》";"TailSpin";;
"loading_bg/login_layer_thunder_toon_chars";"Sky Pirates";"Pirates du ciel";"Pirati dei cieli";"Luftpiraten";"Piratas del cielo";"Воздушные пираты";"Latający piraci";"Vzdušní piráti";"Gökyüzü korsanları";"空\t中\t海\t盗";"空ぞく";"Piratas do Céu";"Повітряні пірати";"Sky pirates";"Légi kalózok";"스카이 레이더스";"Паветраныя піраты";"Sky pirates";"空\t中\t海\t盜";"空\t中\t海\t盗";"Sky pirates";;
"loading_bg/login_layer_wt2077";"Warfare 2077";"Warfare 2077";"Teatro 2077";"Warfare 2077";"Warfare 2077";"Война 2077";"Warfare 2077";"Warfare 2077";"Warfare 2077";"赛\t博\t雷\t霆 2077";"ウォーフェア 2077";"Warfare 2077";"Війна 2077";"Warfare 2077";"Warfare 2077";"워페어 2077";"Вайна 2077";"Warfare 2077";"賽\t博\t雷\t霆 2077";"赛\t博\t雷\t霆 2077";"Warfare 2077";;
"loading_bg/login_layer_cn_spaag";"PGZ04A and PGZ09";"Canons antiaériens chinois";"Antiaeree Cinesi";"Chinesische Flakpanzer";"Cañones autopropulsados chinos";"ЗСУ Китая";"Chińskie samobieżne zestawy przeciwlotnicze";"Čínské protiletadlovky";"Çin Uçaksavarları";"中\t国\t自\t行\t防\t空\t炮";"中国製対空自走砲";"AAAPs Chinesas";"ЗСУ Китаю";"Chinese SPAAGs";"Kínai önjáró légvédelmi lövegek";"중국 자주대공포";"ЗСУ Кітая";"Chinese SPAAGs";"中\t國\t自\t行\t防\t空\t炮";"C\t系\t自\t行\t防\t空\t炮";"Chinese SPAAGs";;
"loading_bg/login_layer_t_80bvm";"T-80BVM";"T-80BVM";"T-80BVM";"T-80BVM";"T-80BVM";"Т-80БВМ";"T-80BWM";"T-80BVM";"T-80BVM";"T-80BVM";"T-80BVM";"T-80BVM";"Т-80БВМ";"T-80BVM";"T-80BVM";"T-80BVM";"Т-80БВМ";"T-80BVM";"T-80BVM";"T-80BVM";"T-80BVM";;
"loading_bg/login_layer_mig23_m";"MiG-23M";"MiG-23M";"MiG-23M";"MiG-23M";"MiG-23M";"МиГ-23М";"MiG-23M";"MiG-23M";"MiG-23M";"米\t格\t-23M";"MiG-23M";"MiG-23M";"МіГ-23М";"MiG-23M";"MiG-23M";"MiG-23M";"МіГ-23М";"MiG-23M";"米\t格\t-23M";"米\t格\t-23M";"MiG-23M";;
"loading_bg/login_layer_panhard_ebr_1963";"EBR 90 (FL 11)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R (1963)";"Panhard E.B.R. (1963)";"EBR 1963 型";"EBR\t装甲車 (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R (1963)";"파나르 E.B.R. (1963)";"Panhard E.B.R. (1963)";"Panhard E.B.R. (1963)";"潘\t哈\t德 EBR (1963)";"EBR 1963\t型";"Panhard E.B.R. (1963)";;
