"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"armor_class/cn_era_type_59d_hull";"FY-1";"ERA";"Corazza Reattiva";"Reaktivpanzerung";"ERA";"ДЗ";"ERA";"výbušný reaktivní pancíř";"ERA";"爆\t炸\t反\t应\t装\t甲";"爆発反応装甲";"ERA";"Динамічний захист";"ERA";"Robbanó reaktív páncél";"활성반응장갑";"ДА";"Armură reactivă explozivă (ARE)";"爆\t炸\t反\t應\t裝\t甲";"爆\t炸\t反\t应\t装\t甲";"ERA";;
"armor_class/composite_armor_hull";"Composite armor";"Blindage composite";"Corazzatura composita";"Verbundpanzerung";"Blindaje compuesto";"Комбинированная броня";"Pancerz kompozytowy";"kompozitní pancíř";"Kompozit zırh";"复\t合\t装\t甲";"複合装甲";"Blindagem compósita";"Комбінована броня";"Kompozitni oklop";"Kompozit páncél";"복합장갑";"Камбінаваная браня";"Blindaj compozit";"複\t合\t裝\t甲";"复\t合\t装\t甲";"Giáp hỗn hợp";;
"armor_class/composite_armor_turret";"Composite armor";"Blindage composite";"Corazzatura composita";"Verbundpanzerung";"Blindaje compuesto";"Комбинированная броня";"Pancerz kompozytowy";"kompozitní pancíř";"Kompozit zırh";"复\t合\t装\t甲";"複合装甲";"Blindagem compósita";"Комбінована броня";"Kompozitni oklop";"Kompozit páncél";"복합장갑";"Камбінаваная браня";"Blindaj compozit";"複\t合\t裝\t甲";"复\t合\t装\t甲";"Giáp hỗn hợp";;
"armor_class/spaced_armor";"Spaced armor";"Blindage espacé";"Corazza Spaziata";"Schottpanzerung";"Blindaje espaciado";"Разнесённая броня";"Ekran przeciwkumulacyjny";"představný pancíř";"Boşluklu zırh";"间\t隙\t装\t甲";"多重空間装甲";"Blindagem espaçada";"Рознесена броня";"Spaced armor";"Előtétpáncélzat";"공간장갑";"Разнесеная браня";"Blindaj spațiat";"間\t隙\t裝\t甲";"间\t隙\t装\t甲";"Giáp rỗng";;
"armor_class/stillbrew";"Stillbrew additional armor";"Blindage supplémentaire Stillbrew";"Corazza aggiuntiva Stillbrew";"Stillbrew-Zusatzpanzerung";"Blindaje adicional Stillbrew";"Дополнительная броня Stillbrew";"Dodatkowe opancerzenie Stillbrew";"přídavný pancíř Stillbrew";"Stillbrew ek zırh";"“斯\t蒂\t尔\t布\t鲁”\t附\t加\t装\t甲";"スティルブリュー\t副装甲";"Blindagem adicional Stillbrew";"Додаткова броня Stillbrew";"Stillbrew additional armor";"Stillbrew kiegészítő páncél";"스틸브류 증가장갑";"Дадатковая браня Stillbrew";"Blindaj suplimentar Stillbrew";"斯\t蒂\t爾\t布\t魯\t附\t加\t裝\t甲";"“斯\t蒂\t尔\t布\t鲁”\t附\t加\t装\t甲";"Giáp bổ sung Stillbrew.";;
"armor_class/stillbrew_turret_front";"Stillbrew additional armor + turret's front armor";"Blindage supplémentaire Stillbrew + blindage avant de tourelle";"Corazza aggiuntiva Stillbrew + corazza frontale torretta";"Stillbrew- & Turmfront-Zusatzpanzerung";"Blindaje adicional Stillbrew + blindaje frontal de torreta";"Дополнительная броня Stillbrew + лобовая броня башни";"Dodatkowy pancerz Stillbrew + przedni pancerz wieży";"přídavný pancíř Stillbrew + přední pancíř věže";"Stillbrew ek zırh + taret ön zırhı";"“斯\t蒂\t尔\t布\t鲁”\t附\t加\t装\t甲 + 炮\t塔\t正\t面\t装\t甲";"スティルブリュー\t副装甲＋タレットの\t前方装甲";"Blindagem adicional + blindagem frontal da torre";"Додаткова броня Stillbrew + лобова броня башти";"Stillbrew additional armor + turret's front armor";"Stillbrew kiegészítő páncél és torony frontpáncél";"스틸브류 증가장갑 + 포탑 정면장갑";"Дадатковая браня Stillbrew + лабавая браня вежы";"Blindaj suplimentar Stillbrew + armură frontală turelă";"“斯\t蒂\t爾\t布\t魯”\t附\t加\t裝\t甲 + 砲\t塔\t正\t面\t裝\t甲";"“斯\t蒂\t尔\t布\t鲁”\t附\t加\t装\t甲 + 炮\t塔\t正\t面\t装\t甲";"Giáp bổ sung Stillbrew + giáp trước của tháp.";;
"armor_class/tank_textolite";"Textolite";"Textolite";"Textolite";"Textolite";"Textolite";"Текстолит";"Kompozyt";"textolit";"Textolite";"层\t压\t合\t板";"ガラス\t繊維";"Textolite";"Текстоліт";"Textolite";"Textolit";"텍스톨라이트";"Тэксталіт";"Textolit";"層\t壓\t合\t板";"层\t压\t合\t板";"Textolite";;
"armor_class/tank_ultra_porcelain";"Ultra porcelain";"Céramique";"Ultra ceramica";"Keramik";"Ultra cerámica";"Ультрафарфор";"Wzmocniona ceramika";"ultra keramika";"Ultra porcelain";"高\t强\t度\t陶\t瓷";"超磁器";"Ultra porcelana";"Ультрафарфор";"Ultra porcelain";"Nagy keménységű kerámiabetét";"세라믹";"Ультрафарфор";"Ultraceramică";"高\t强\t度\t陶\t瓷";"高\t强\t度\t陶\t瓷";"Sứ siêu cứng";;
"armor_class/rubber_tank";"Rubber";"Caoutchouc";"Gomma";"Gummi";"Goma";"Резина";"Guma";"guma";"Kauçuk";"橡\t胶";"ゴム";"Borracha";"Гума";"Guma";"Gumi";"고무";"Гума";"Cauciuc";"橡\t膠";"橡\t胶";"Cao su";;
"armor_class/nbc_liner_tank";"Armor radiation material";"Doublure anti-radiations";"Protezione NBC";"Isolierungsmaterial gegen ABC-Bewaffnung";"Protección NBC";"Противорадиационный материал";"Wykładzina przeciwradiacyjna";"protiradiační vrstva";"Zırh radyasyon astarı";"防\t辐\t射\t装\t甲\t衬\t板";"装甲放射\tライナー";"Blindagem de radiação";"Протирадіаційний матеріал";"Armor radiation material";"Sugárzáselnyelő páncélbevonat";"방사선 차폐재";"Супрацьрадыяцыйны матэрыял";"Protecție antiradiații";"防\t輻\t射\t裝\t甲\t襯\t板";"防\t辐\t射\t装\t甲\t衬\t板";"Chất liệu giáp chống phóng xạ";;
"armor_class/ex_era_hull";"Explosive reactive armor";"Blindage réactif";"Corazza Reattiva Esplosiva";"Reaktivpanzerung";"Blindaje reactivo explosivo";"Динамическая защита";"Pancerz reaktywny";"výbušný reaktivní pancíř";"Patlayıcı reaktif zırh";"爆\t炸\t反\t应\t装\t甲";"爆発反応装甲";"Blindagem reativa explosiva";"Динамічний захист";"Explosive reactive armor";"Robbanó reaktív páncél";"활성반응장갑";"Дынамічная абарона";"Blindaj reactiv";"爆\t炸\t反\t應\t裝\t甲";"爆\t炸\t反\t应\t装\t甲";"Giáp phản ứng nổ";;
"armor_class/ex_era_turret";"Explosive reactive armor";"Blindage réactif";"Corazza Reattiva Esplosiva";"Reaktivpanzerung";"Blindaje reactivo explosivo";"Динамическая защита";"Pancerz reaktywny";"výbušný reaktivní pancíř";"Patlayıcı reaktif zırh";"爆\t炸\t反\t应\t装\t甲";"爆発反応装甲";"Blindagem reativa explosiva";"Динамічний захист";"Explosive reactive armor";"Robbanó reaktív páncél";"활성반응장갑";"Дынамічная абарона";"Blindaj reactiv";"爆\t炸\t反\t應\t裝\t甲";"爆\t炸\t反\t应\t装\t甲";"Giáp phản ứng nổ";;
"armor_class/t64a_hull_frontal_armor_array";"100 mm steel — 106 mm textolite — 20 mm steel";"100mm d'acier - 106mm de textolite - 20mm d'acier";"100 mm acciaio — 106 mm textolite — 20 mm acciaio";"100mm Stahl — 106mm Textolite — 20mm Stahl";"Acero 100 mm — Textolite 106 mm — Acero 20 mm";"Сталь 100 мм — текстолит 106 мм — сталь 20 мм";"100 mm stal — 106 mm tekstolit— 20 mm stal";"100 mm ocel – 106 mm textolit – 20 mm ocel";"100 mm çelik — 106 mm textolite — 20 mm çelik";"100 毫\t米\t装\t甲\t钢 — 106 毫\t米\t层\t压\t合\t板 — 20 毫\t米\t装\t甲\t钢";"100mmの\t鋼 — 106 mmの\tガラス\t繊維 — 20mmの\t鋼";"100 mm de Aço — 106 mm de Textolite — 20 mm de Aço";"Сталь 100 мм — текстоліт 106 мм — сталь 20 мм";"100 mm steel — 106 mm textolite — 20 mm steel";"100 mm acél – 106 mm textolit – 20 mm acél";"100 mm 강판 — 106 mm 텍스톨라이트 — 20 mm 강판";"Сталь 100 мм  — тэксталіт 106 мм  — сталь 100 мм";"100 mm oțel — 106 mm textolit — 20 mm oțel";"100 毫\t米\t裝\t甲\t鋼 — 106 毫\t米\t層\t壓\t合\t板 — 20 毫\t米\t裝\t甲\t鋼";"100 毫\t米\t装\t甲\t钢 — 106 毫\t米\t层\t压\t合\t板 — 20 毫\t米\t装\t甲\t钢";"100mm thép - 106mm vật liệu cứng Textolite - 20mm thép";;
"armor_class/t64a_turret_frontal_armor_array";"steel — high hardness steel — steel";"acier - acier à dureté élevé - acier";"acciaio — acciaio ad alta durezza — acciaio";"Stahl — Gehärteter Stahl — Stahl";"acero — acero de alta dureza — acero";"сталь — сталь высокой твёрдости — сталь";"stal — stal wysoko-utwardzana — stal";"ocel – vysokopevnostní ocel – ocel";"çelik — yüksek sertlikte çelik — çelik";"装\t甲\t钢 — 高\t硬\t度\t装\t甲\t钢 — 装\t甲\t钢";"鋼 — 高硬度鋼 — 鋼";"aço — aço de dureza elevada — aço";"сталь — сталь високої твердості — сталь";"steel — high hardness steel — steel";"acél – nagy keménységű acél – acél";"강판 - 고강도 강판 - 강판";"сталь — сталь высокай цвёрдасці — сталь";"oțel — oțel întărit — oțel";"裝\t甲\t鋼 — 高\t硬\t度\t裝\t甲\t鋼 — 裝\t甲\t鋼";"装\t甲\t钢 — 高\t硬\t度\t装\t甲\t钢 — 装\t甲\t钢";"thép - thép chịu lực cao - thép";;
"armor_class/tank_steel_wheels";"Structural steel of chassis";"Acier de construction du châssis";"Acciaio strutturale dello scafo";"Baustahl (Wanne)";"Acero estructural del chasis";"Конструкционная сталь ходовой части";"Stal konstrukcyjna podwozia";"konstrukční ocel podvozku";"Şasenin yapısal çeliği";"结\t构\t钢";"転輪構造鋼";"Aço estrutural do chassi";"Конструкційна сталь ходової частини";"Čelične konstrukcije šasije";"Szerkezetiacél-alváz";"차체 구조용강";"Канструкцыйная сталь шасі";"Oțelul structural al sașiului";"結\t構\t鋼";"结\t构\t钢";"Kết cấu khung thép";;
"armor_class/glass4_5";"Bulletproof glass 4.5 mm";"Verre blindé de 4.5 mm";"Vetro antiproiettile da 4.5mm";"Kugelsicheres Glas (4.5 mm)";"Cristal blindado 4.5 mm";"Бронестекло 4.5 мм";"Szkło kuloodporne 4,5 mm";"4.5 mm neprůstřelné sklo";"Kurşun geçirmez cam 4.5 mm";"4.5 毫\t米\t防\t弹\t玻\t璃";"4.5mm\t防弾\tガラス";"Vidro à prova de balas 4,5mm";"Бронескло 4.5 мм";"Neprobojno staklo 4.5 mm";"4,5 mm páncélüveg";"4.5 mm 방탄유리";"Браняшкло 4.5 мм";"Bulletproof glass 4.5 mm";"4.5 毫\t米\t防\t彈\t玻\t璃";"4.5\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 4.5 mm";;
"armor_class/glass8";"Bulletproof glass 8 mm";"Verre blindé de 8 mm";"Vetro antiproiettile da 8mm";"Kugelsicheres Glas (8 mm)";"Cristal blindado 8 mm";"Бронестекло 8 мм";"Szkło kuloodporne 8 mm";"8 mm neprůstřelné sklo";"Kurşun geçirmez cam 8 mm";"8 毫\t米\t防\t弹\t玻\t璃";"8mm\t防弾\tガラス";"Vidro à prova de bala de 8 mm";"Бронескло 8 мм";"Neprobojno staklo 8 mm";"8 mm páncélüveg";"8 mm 방탄유리";"Браняшкло 8 мм";"Bulletproof glass 8 mm";"8 毫\t米\t防\t彈\t玻\t璃";"8\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 8 mm";;
"armor_class/glass12";"Bulletproof glass 12 mm";"Verre blindé 12 mm";"Vetro antiproiettile da 12mm";"Kugelsicheres Glas (12 mm)";"Cristal blindado 12 mm";"Бронестекло 12 мм";"Szkło kuloodporne 12 mm";"12 mm neprůstřelné sklo";"Kurşungeçirmez cam 12 mm";"12 毫\t米\t防\t弹\t玻\t璃";"12 mm 防弾\tガラス";"Vidro à Prova de Bala de 12 mm";"Бронескло 12 мм";"Neprobojno staklo 12 mm";"12 mm páncélüveg";"12 mm 방탄유리";"Браняшкло 12 мм";"Sticlă antiglonț 12 mm";"12 毫\t米\t防\t彈\t玻\t璃";"12 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 12 mm";;
"armor_class/glass22";"Bulletproof glass 22 mm";"Verre blindé 22 mm";"Vetro antiproiettile da 22mm";"Kugelsicheres Glas (22 mm)";"Cristal blindado 22 mm";"Бронестекло 22 мм";"Szkło kuloodporne 22 mm";"22 mm neprůstřelné sklo";"Kurşun geçirmez cam 22 mm";"22 毫\t米\t防\t弹\t玻\t璃";"22 mm 防弾\tガラス";"Vidro à prova de balas 22mm";"Бронескло 22 мм";"Neprobojno staklo 22 mm";"22 mm páncélüveg";"22 mm 방탄유리";"Браняшкло 22 мм";"Bulletproof glass 22 mm";"22 毫\t米\t防\t彈\t玻\t璃";"22\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 22 mm";;
"armor_class/glass25";"Bulletproof glass 25 mm";"Verre pare balle de 25 mm";"Vetro antiproiettile da 25mm";"Kugelsicheres Glas (25 mm)";"Cristal blindado 25 mm";"Бронестекло 25 мм";"Szkło kuloodporne 25 mm";"25 mm neprůstřelné sklo";"Kurşun geçirmez 25 mm cam";"25 毫\t米\t防\t弹\t玻\t璃";"25mm 防弾\tガラス";"Vidro à prova de bala de 25 mm";"Бронескло 25 мм";"Bulletproof glass 25 mm";"25 mm páncélüveg";"25 mm 방탄유리";"Браняшкло 25 мм";"Bulletproof glass 25 mm";"25 毫\t米\t防\t彈\t玻\t璃";"25 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 25 mm";;
"armor_class/glass30";"Bulletproof glass 30 mm";"Verre blindé de 30 mm";"Vetro antiproiettile da 30mm";"Kugelsicheres Glas (30 mm)";"Cristal blindado 30 mm";"Бронестекло 30 мм";"Szkło kuloodporne 30 mm";"30 mm neprůstřelné sklo";"Kurşun geçirmez 30 mm cam";"30 毫\t米\t防\t弹\t玻\t璃";"30 mm 防弾\tガラス";"Vidro à prova de bala de 30 mm";"Бронескло 30 мм";"Neprobojno staklo 30 mm";"30 mm páncélüveg";"30 mm 방탄유리";"Браняшкло 30 мм";"Sticlă antiglonț 30 mm";"30 毫\t米\t防\t彈\t玻\t璃";"30\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 30 mm";;
"armor_class/glass32";"Bulletproof glass 32 mm";"Verre blindé 32 mm";"Vetro antiproiettile da 32mm";"Kugelsicheres Glas (32 mm)";"Cristal blindado 32 mm";"Бронестекло 32 мм";"Szkło kuloodporne 32 mm";"32 mm neprůstřelné sklo";"Kurşun geçirmez 32 mm cam";"32 毫\t米\t防\t弹\t玻\t璃";"32 mm 防弾\tガラス";"Vidro à prova de bala de 32 mm";"Бронескло 32 мм";"Neprobojno staklo 32 mm";"32 mm páncélüveg";"32 mm 방탄유리";"Браняшкло 32 мм";"Sticlă antiglonț 32 mm";"32 毫\t米\t防\t彈\t玻\t璃";"32\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 32 mm";;
"armor_class/glass38";"Bulletproof glass 38 mm";"Verre blindé 38 mm";"Vetro antiproiettile da 38mm";"Kugelsicheres Glas (38 mm)";"Cristal blindado 38 mm";"Бронестекло 38 мм";"Szkło kuloodporne 38 mm";"38 mm neprůstřelné sklo";"Kurşungeçirmez cam 38 mm";"38 毫\t米\t防\t弹\t玻\t璃";"38 mm 防弾\tガラス";"Vidro à Prova de Bala de 38 mm";"Бронескло 38 мм";"Neprobojno staklo 38 mm";"38 mm páncélüveg";"38 mm 방탄유리";"Браняшкло 38 мм";"Sticlă antiglonț 38 mm";"38 毫\t米\t防\t彈\t玻\t璃";"38 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 38 mm";;
"armor_class/glass40";"Bulletproof glass 40 mm";"Verre blindé 40 mm";"Vetro antiproiettile da 40mm";"Kugelsicheres Glas (40 mm)";"Cristal blindado 40 mm";"Бронестекло 40 мм";"Szkło kuloodporne 40 mm";"40 mm neprůstřelné sklo";"Kurşungeçirmez cam 40 mm";"40 毫\t米\t防\t弹\t玻\t璃";"40 mm 防弾\tガラス";"Vidro à Prova de Bala de 40 mm";"Бронескло 40 мм";"Neprobojno staklo 40 mm";"40 mm páncélüveg";"40 mm 방탄유리";"Браняшкло 40 мм";"Sticlă antiglonț 40 mm";"40 毫\t米\t防\t彈\t玻\t璃";"40 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 40 mm";;
"armor_class/glass42_8";"Bulletproof glass 42.8 mm";"Verre blindé 42.8 mm";"Vetro antiproiettile da 42.8 mm";"Kugelsicheres Glas (42,8 mm)";"Cristal blindado 42.8 mm";"Бронестекло 42.8 мм";"Szkło kuloodporne 42,8 mm";"43 mm neprůstřelné sklo";"Kurşun geçirmez 42.8 mm cam";"42.8 毫\t米\t防\t弹\t玻\t璃";"42.8 mm 防弾\tガラス";"Vidro à Prova de Bala de 42.8 mm";"Бронескло 42.8 мм";"Neprobojno staklo 42.8 mm";"42,8 mm páncélüveg";"42.8 mm 방탄유리";"Браняшкло 42,8 мм";"Sticlă antiglonț 42,8 mm";"42.8 毫\t米\t防\t彈\t玻\t璃";"42.8 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 42.8 mm";;
"armor_class/glass44";"Bulletproof glass 44 mm";"Verre blindé 44 mm";"Vetro antiproiettile da 44mm";"Kugelsicheres Glas (44 mm)";"Cristal blindado 44 mm";"Бронестекло 44 мм";"Szkło kuloodporne 44 mm";"44 mm neprůstřelné sklo";"Kurşun geçirmez 44 mm cam";"44 毫\t米\t防\t弹\t玻\t璃";"44 mm 防弾\tガラス";"Vidro à prova de bala de 44 mm";"Бронескло 44 мм";"Neprobojno staklo 44 mm";"44 mm páncélüveg";"44 mm 방탄유리";"Браняшкло 44 мм";"Bulletproof glass 44 mm";"44 毫\t米\t防\t彈\t玻\t璃";"44\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 44 mm";;
"armor_class/glass44_45";"Bulletproof glass 44.45 mm";"Verre blindé 44.45 mm";"Vetro antiproiettile da 44.45 mm";"Kugelsicheres Glas (44,45 mm)";"Cristal blindado 44.45 mm";"Бронестекло 44.45 мм";"Szkło kuloodporne 44,45 mm";"44 mm neprůstřelné sklo";"Kurşun geçirmez Cam 44.45 mm";"44.45 毫\t米\t防\t弹\t玻\t璃";"44.45 mm 防弾\tガラス";"Vidro à Prova de Bala de 44.45 mm";"Бронескло 44.45 мм";"Neprobojno staklo 44.45 mm";"44,45 mm páncélüveg";"44.45 mm 방탄유리";"Браняшкло 44,45 мм";"Sticlă antiglonț 44,45 mm";"44.45 毫\t米\t防\t彈\t玻\t璃";"44.45 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 44.45 mm";;
"armor_class/glass45";"Bulletproof glass 45 mm";"Verre blindé 45 mm";"Vetro antiproiettile da 45mm";"Kugelsicheres Glas (45 mm)";"Cristal blindado 45 mm";"Бронестекло 45 мм";"Szkło kuloodporne 45 mm";"45 mm neprůstřelné sklo";"Kurşungeçirmez cam 45 mm";"45 毫\t米\t防\t弹\t玻\t璃";"45 mm 防弾\tガラス";"Vidro à Prova de Bala de 45 mm";"Бронескло 45 мм";"Neprobojno staklo 45 mm";"45 mm páncélüveg";"45 mm 방탄유리";"Браняшкло 45 мм";"Sticlă antiglonț 45 mm";"45 毫\t米\t防\t彈\t玻\t璃";"45 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 45 mm";;
"armor_class/glass50";"Bulletproof glass 50 mm";"Verre blindé 50 mm";"Vetro antiproiettile da 50mm";"Kugelsicheres Glas (50 mm)";"Cristal blindado 50 mm";"Бронестекло 50 мм";"Szkło kuloodporne 50 mm";"50 mm neprůstřelné sklo";"Kurşungeçirmez cam 50 mm";"50 毫\t米\t防\t弹\t玻\t璃";"50 mm 防弾\tガラス";"Vidro à Prova de Bala de 50 mm";"Бронескло 50 мм";"Neprobojno staklo 50 mm";"50 mm páncélüveg";"50 mm 방탄유리";"Браняшкло 50 мм";"Sticlă antiglonț 50 mm";"50 毫\t米\t防\t彈\t玻\t璃";"50 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 50 mm";;
"armor_class/glass55";"Bulletproof glass 55 mm";"Verre blindé 55 mm";"Vetro antiproiettile da 55mm";"Kugelsicheres Glas (55 mm)";"Cristal blindado 55 mm";"Бронестекло 55 мм";"Szkło kuloodporne 55 mm";"55 mm neprůstřelné sklo";"Kurşungeçirmez cam 55 mm";"55 毫\t米\t防\t弹\t玻\t璃";"55 mm 防弾\tガラス";"Vidro à Prova de Bala de 55 mm";"Бронескло 55 мм";"Neprobojno staklo 55 mm";"55 mm páncélüveg";"55 mm 방탄유리";"Браняшкло 55 мм";"Sticlă antiglonț 55 mm";"55 毫\t米\t防\t彈\t玻\t璃";"55 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 55 mm";;
"armor_class/glass57";"Bulletproof glass 57 mm";"Verre blindé 57 mm";"Vetro antiproiettile da 57mm";"Kugelsicheres Glas (57 mm)";"Cristal blindado 57 mm";"Бронестекло 57 мм";"Szkło kuloodporne 57 mm";"57 mm neprůstřelné sklo";"Kurşungeçirmez cam 57 mm";"57 毫\t米\t防\t弹\t玻\t璃";"57 mm 防弾\tガラス";"Vidro à Prova de Bala de 57 mm";"Бронескло 57 мм";"Neprobojno staklo 57 mm";"57 mm páncélüveg";"57 mm 방탄유리";"Браняшкло 57 мм";"Sticlă antiglonț 57 mm";"57 毫\t米\t防\t彈\t玻\t璃";"57 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 57 mm";;
"armor_class/glass58";"Bulletproof glass 58 mm";"Verre blindé 58 mm";"Vetro antiproiettile da 58mm";"Kugelsicheres Glas (58 mm)";"Cristal blindado 58 mm";"Бронестекло 58 мм";"Szkło kuloodporne 58 mm";"58 mm neprůstřelné sklo";"Kurşungeçirmez cam 58 mm";"58 毫\t米\t防\t弹\t玻\t璃";"58 mm 防弾\tガラス";"Vidro à Prova de Bala de 58 mm";"Бронескло 58 мм";"Neprobojno staklo 58 mm";"58 mm páncélüveg";"58 mm 방탄유리";"Браняшкло 58 мм";"Sticlă antiglonț 58 mm";"58 毫\t米\t防\t彈\t玻\t璃";"58 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 58 mm";;
"armor_class/glass60";"Bulletproof glass 60 mm";"Verre blindé 60 mm";"Vetro antiproiettile da 60mm";"Kugelsicheres Glas (60 mm)";"Cristal blindado 60 mm";"Бронестекло 60 мм";"Szkło kuloodporne 60 mm";"60 mm neprůstřelné sklo";"Kurşungeçirmez cam 60 mm";"60 毫\t米\t防\t弹\t玻\t璃";"60 mm 防弾\tガラス";"Vidro à Prova de Bala de 60 mm";"Бронескло 60 мм";"Neprobojno staklo 60 mm";"60 mm páncélüveg";"60 mm 방탄유리";"Браняшкло 60 мм";"Sticlă antiglonț 60 mm";"60 毫\t米\t防\t彈\t玻\t璃";"60 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 60 mm";;
"armor_class/glass62_5";"Bulletproof glass 62.5 mm";"Verre blindé de 62.5 mm";"Vetro antiproiettile da 62.5mm";"Kugelsicheres Glas (62.5 mm)";"Cristal blindado 62.5 mm";"Бронестекло 62.5 мм";"Szkło kuloodporne 62,5 mm";"62.5 mm neprůstřelné sklo";"Kurşun geçirmez 62.5 mm cam";"62.5 毫\t米\t防\t弹\t玻\t璃";"62.5 mm 防弾\tガラス";"Vidro à prova de balas 62,5mm";"Бронескло 62.5 мм";"Bulletproof glass 62.5 mm";"62.5 mm-es gólyóálló üveg";"62.5 mm 방탄유리";"Браняшкло 62.5 мм";"Bulletproof glass 62.5 mm";"62.5 毫\t米\t防\t彈\t玻\t璃";"62.5\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 62.5 mm";;
"armor_class/glass63_5";"Bulletproof glass 63.5 mm";"Verre blindé 63,5 mm";"Vetro antiproiettile da 63.5mm";"Kugelsicheres Glas (63.5 mm)";"Cristal blindado 63.5 mm";"Бронестекло 63.5 мм";"Szkło kuloodporne 63.5 mm";"63.5 mm neprůstřelné sklo";"Kurşun geçirmez 63.5 mm cam";"63.5 毫\t米\t防\t弹\t玻\t璃";"63.5 mm 防弾\tガラス";"Vidro à prova de bala de 63.5 mm";"Бронескло 63.5 мм";"Neprobojno staklo 63.5 mm";"63,5 mm páncélüveg";"63.5 mm 방탄유리";"Браняшкло 63.5 мм";"Bulletproof glass 63.5 mm";"63.5 毫\t米\t防\t彈\t玻\t璃";"63.5\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 63.5 mm";;
"armor_class/glass64";"Bulletproof glass 64 mm";"Verre blindé 64 mm";"Vetro antiproiettile da 64mm";"Kugelsicheres Glas (64 mm)";"Cristal blindado 64 mm";"Бронестекло 64 мм";"Szkło kuloodporne 64 mm";"64 mm neprůstřelné sklo";"Kurşungeçirmez cam 64 mm";"64 毫\t米\t防\t弹\t玻\t璃";"64 mm 防弾\tガラス";"Vidro à Prova de Bala de 64 mm";"Бронескло 64 мм";"Neprobojno staklo 64 mm";"64 mm páncélüveg";"64 mm 방탄유리";"Браняшкло 64 мм";"Sticlă antiglonț 64 mm";"64 毫\t米\t防\t彈\t玻\t璃";"64 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 64 mm";;
"armor_class/glass66";"Bulletproof glass 66 mm";"Verre blindé 66 mm";"Vetro antiproiettile da 66mm";"Kugelsicheres Glas (66 mm)";"Cristal blindado 66 mm";"Бронестекло 66 мм";"Szkło kuloodporne 66 mm";"66 mm neprůstřelné sklo";"Kurşungeçirmez cam 66 mm";"66 毫\t米\t防\t弹\t玻\t璃";"66 mm 防弾\tガラス";"Vidro à Prova de Bala de 66 mm";"Бронескло 66 мм";"Neprobojno staklo 66 mm";"66 mm páncélüveg";"66 mm 방탄유리";"Браняшкло 66 мм";"Sticlă antiglonț 66 mm";"66 毫\t米\t防\t彈\t玻\t璃";"66 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 66 mm";;
"armor_class/glass65";"Bulletproof glass 65 mm";"Verre blindé 65 mm";"Vetro antiproiettile da 65mm";"Kugelsicheres Glas (65 mm)";"Cristal blindado 65 mm";"Бронестекло 65 мм";"Szkło kuloodporne 65 mm";"65 mm neprůstřelné sklo";"Kurşun geçirmez 65 mm cam";"65 毫\t米\t防\t弹\t玻\t璃";"65mm 防弾\tガラス";"Vidro à prova de bala de 65 mm";"Бронескло 65 мм";"Neprobojno staklo 65 mm";"65 mm páncélüveg";"65 mm 방탄유리";"Браняшкло 65 мм";"Sticlă antiglonț 65 mm";"65 毫\t米\t防\t彈\t玻\t璃";"65\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 65 mm";;
