"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"engine_model/ha_32";"
Engine model: Ha-32";"Ha-32";"Ha-32";"Ha-32";"Ha-32";"Ха-32";"Ha-32";"Ha-32";"Ha-32";"Ha-32";"ハ\t32";"Ha-32";"Ha-32";"Ha-32";"Ha-32";"하32";"Ha-32";"Ha-32";"ハ\t32";"Ha-32";;
"engine_model/jumo210c";"
Engine model: Jumo 210С";"Jumo 210С";"Jumo 210С";"Jumo 210С";"Jumo 210C";"Jumo 210С";"Jumo 210С";"Jumo 210 С";"Jumo 210C";"Jumo 210\tС";"ユモ\t210C";"Jumo 210С";"Jumo 210С";"Džumo 210С";"Jumo 210С";"유모 210C";"Jumo 210С";"Jumo 210С";"Jumo 210\tС";"Jumo 210\tС";;
"engine_model/r1340-27";"
Engine model: R-1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R1340-27";"R-1340-27";"R1340-27";"R-1340-27";"R1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R1340-27";"R-1340-27";"R-1340-27";"R-1340-27";"R-1340-27";;
"engine_model/r1340-33";"
Engine model: R-1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R1340-33";"R-1340-33";"R1340-33";"R-1340-33";"R1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R1340-33";"R-1340-33";"R-1340-33";"R-1340-33";"R-1340-33";;
"engine_model/r1830-17";"
Engine model: R-1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R1830-17";"R-1830-17";"R1830-17";"R-1830-17";"R1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R1830-17";"R-1830-17";"R-1830-17";"R-1830-17";"R-1830-17";;
"engine_model/1710-29";"
Engine model: V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V1710-29";"V-1710-29";"V1710-29";"V-1710-29";"V1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";"V-1710-29";;
"engine_model/1710-35";"
Engine model: V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V1710-35";"V-1710-35";"V1710-35";"V-1710-35";"V1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";"V-1710-35";;
"engine_model/1710-75";"
Engine model: V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V1710-75";"V-1710-75";"V1710-75";"V-1710-75";"V1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";"V-1710-75";;
"engine_model/1710-91";"
Engine model: V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V1710-91";"V-1710-91";"V1710-91";"V-1710-91";"V1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";"V-1710-91";;
"engine_model/1710-113";"
Engine model: V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V1710-113";"V-1710-113";"V1710-113";"V-1710-113";"V1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";"V-1710-113";;
"engine_model/1710-27";"
Engine model: V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V1710-27";"V-1710-27";"V1710-27";"V-1710-27";"V1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";"V-1710-27";;
"engine_model/1710-51";"
Engine model: V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V1710-51";"V-1710-51";"V1710-51";"V-1710-51";"V1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";"V-1710-51";;
"engine_model/1710-89";"
Engine model: V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V1710-89";"V-1710-89";"V1710-89";"V-1710-89";"V1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";"V-1710-89";;
"engine_model/1710-111";"
Engine model: V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V1710-111";"V-1710-111";"V1710-111";"V-1710-111";"V1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";"V-1710-111";;
"engine_model/1710-95";"
Engine model: V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V1710-95";"V-1710-95";"V1710-95";"V-1710-95";"V1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";"V-1710-95";;
"engine_model/1710-39";"
Engine model: V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V1710-39";"V-1710-39";"V1710-39";"V-1710-39";"V1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";"V-1710-39";;
"engine_model/1710-85";"
Engine model: V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V1710-85";"V-1710-85";"V1710-85";"V-1710-85";"V1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";"V-1710-85";;
"engine_model/r2800-63";"
Engine model: R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R2800-63";"R-2800-63";"R2800-63";"R-2800-63";"R2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";"R-2800-63";;
"engine_model/r2800-65";"
Engine model: R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";"R-2800-65";;
"engine_model/1710-93";"
Engine model: V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V1710-93";"V-1710-93";"V1710-93";"V-1710-93";"V1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";"V-1710-93";;
"engine_model/1710-117";"
Engine model: V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V1710-117";"V-1710-117";"V1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";"V-1710-117";;
"engine_model/1710-87";"
Engine model: V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V1710-87";"V-1710-87";"V1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";"V-1710-87";;
"engine_model/1710-81";"
Engine model: V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V1710-81";"V-1710-81";"V1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";"V-1710-81";;
"engine_model/r2800-73";"
Engine model: R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R2800-73";"R-2800-73";"R2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";"R-2800-73";;
"engine_model/r2800-57c";"
Engine model: R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57c";"R2800-57c";"R-2800-57C";"R2800-57c";"R-2800-57C";"R-2800-57С";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";"R-2800-57C";;
"engine_model/1650-7";"
Engine model: V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V1650-7";"V-1650-7";"V1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";"V-1650-7";;
"engine_model/1710-145";"
Engine model: V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V1710-145";"V-1710-145";"V1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";"V-1710-145";;
"engine_model/1710-143";"
Engine model: V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V1710-143";"V-1710-143";"V1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";"V-1710-143";;
"engine_model/j33-a-17";"
Engine model: J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";"J33-A-17";;
"engine_model/j33-a-35";"
Engine model: J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";"J33-A-35";;
"engine_model/j35-a-15";"
Engine model: J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";"J35-A-15";;
"engine_model/j35-a-29";"
Engine model: J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";"J35-A-29";;
"engine_model/j47_ge_13";"
Engine model: J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";"J47-GE-13";;
"engine_model/r-1820_04";"
Engine model: R-1820-04 Cyclone";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";"Cyclone R-1820-04";;
"engine_model/r-1820g2";"
Engine model: R-1820-G2 Cyclone";"Cyclone R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"R-1820-G2 Cyclone";"Cyclone R-1820G2";"旋\t风 R-1820-G2";"サイクロン R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"R-1820-G2 Cyclone";"사이클론 R-1820G2";"Cyclone R-1820G2";"Cyclone R-1820G2";"旋\t風 R-1820-G2";"“旋\t风”\tR-1820-G2";;
"engine_model/r-1820-22";"
Engine model: R-1820-22 Cyclone";"Cyclone R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"R-1820-22 Cyclone";"Kasırga R-1820-22";"旋\t风 R-1820-22";"サイクロン R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"R-1820-22 Cyclone";"사이클론 R-1820-22";"Cyclone R-1820-22";"Cyclone R-1820-22";"旋\t風 R-1820-22";"“旋\t风”\tR-1820-22";;
"engine_model/r-1820-33";"
Engine model: R-1820-33 Cyclone";"Cyclone R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"R-1820-33 Cyclone";"Kasırga R-1820-33";"旋\t风 R-1820-33";"サイクロン R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"R-1820-33 Cyclone";"사이클론 R-1820-33";"Cyclone R-1820-33";"Cyclone R-1820-33";"旋\t風 R-1820-33";"“旋\t风”\tR-1820-33";;
"engine_model/r-1820-34";"
Engine model: R-1820-34 Cyclone";"Cyclone R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"R-1820-34 Cyclone";"Kasırga R-1820-34";"旋\t风 R-1820-34";"サイクロン R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"R-1820-34 Cyclone";"사이클론 R-1820-34";"Cyclone R-1820-34";"Cyclone R-1820-34";"旋\t風 R-1820-34";"“旋\t风”\tR-1820-34";;
"engine_model/r-1820-40";"
Engine model: R-1820-40 Cyclone";"Cyclone R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"R-1820-40 Cyclone";"Kasırga R-1820-40";"旋\t风 R-1820-40";"サイクロン R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"R-1820-40 Cyclone";"사이클론 R-1820-40";"Cyclone R-1820-40";"Cyclone R-1820-40";"旋\t風 R-1820-40";"“旋\t风”\tR-1820-40";;
"engine_model/r1830-86";"
Engine model: R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R1830-86";"R-1830-86";"R1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";"R-1830-86";;
"engine_model/r1830-94";"
Engine model: R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";"R-1830-94";;
"engine_model/r2800-10";"
Engine model: R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R2800-10";"R-2800-10";"R2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";"R-2800-10";;
"engine_model/r2800-8w";"
Engine model: R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R2800-8w";"R-2800-8W";"R2800-8w";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";"R-2800-8W";;
"engine_model/r2800-22w";"
Engine model: R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R2800-22w";"R-2800-22W";"R2800-22w";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";"R-2800-22W";;
"engine_model/r2800-34w";"
Engine model: R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R2800-34w";"R-2800-34W";"R2800-34w";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";"R-2800-34W";;
"engine_model/j34-we-34";"
Engine model: J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";"J34-WE-34";;
"engine_model/j42-p-8";"
Engine model: J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";"J42-P-8";;
"engine_model/j42-p-5";"
Engine model: J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";"J42-P-5";;
"engine_model/j42-p-8a";"
Engine model: J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8a";"J42-P-8A";"J42-P-8a";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";"J42-P-8A";;
"engine_model/r985-48";"
Engine model: R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";"R-985-48";;
"engine_model/r-1820-52";"
Engine model: R-1820-52 Cyclone";"Cyclone R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"R-1820-52 Cyclone";"Kasırga R-1820-52";"旋\t风 R-1820-52";"サイクロン R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"R-1820-52 Cyclone";"사이클론 R-1820-52";"Cyclone R-1820-52";"Cyclone R-1820-52";"旋\t風 R-1820-52";"“旋\t风”\tR-1820-52";;
"engine_model/r-2600-23";"
Engine model: R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";"R-2600-23";;
"engine_model/r-2600-20";"
Engine model: R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";"R-2600-20";;
"engine_model/r-2600-8";"
Engine model: R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";"R-2600-8";;
"engine_model/r-2600-29";"
Engine model: R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";"R-2600-29";;
"engine_model/r-3350";"
Engine model: R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";"R-3350";;
"engine_model/r-3350-26wd";"
Engine model: R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";"R-3350-26WD";;
"engine_model/r-3350-26w";"
Engine model: R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";"R-3350-26W";;
"engine_model/r-3350-26wa";"
Engine model: R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";"R-3350-26WA";;
"engine_model/r1830-92";"
Engine model: R-1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R-1830-92";"R1830-92";"R-1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R1830-92";"R-1830-92";"R-1830-92";;
"engine_model/r1830-64";"
Engine model: R-1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R-1830-64";"R1830-64";"R-1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R1830-64";"R-1830-64";"R-1830-64";;
"engine_model/r-1820-53";"
Engine model: R-1820-53 Cyclone";"Cyclone R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"R-1820-53 Cyclone";"Kasırga R-1820-53";"旋\t风 R-1820-53";"サイクロン R-1820";"Cyclone R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"R-1820-53 Cyclone";"사이클론 R-1820-53";"Cyclone R-1820-53";"Cyclone R-1820-53";"旋\t風 R-1820-53";"“旋\t风”\tR-1820-53";;
"engine_model/r-1820-65";"
Engine model: R-1820-65 Cyclone";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";"R-1820-65";;
"engine_model/r-1820-97";"
Engine model: R-1820-97 Cyclone";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";"R-1820-97";;
"engine_model/r1830-65";"
Engine model: R-1830-65";"R1830-65";"R1830-65";"R1830-65";"R1830-65";"R1830-65";"R1830-65";"R-1830-65";"R1830-65";"R-1830-65";"R1830-65";"R1830-65";"R1830-65";"R1830-65";"R-1830-65";"R1830-65";"R1830-65";"R1830-65";"R-1830-65";"R-1830-65";;
"engine_model/r-3350-57";"
Engine model: R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";"R-3350-57";;
"engine_model/j65-w-5";"
Engine model: J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";"J65-W-5";;
"engine_model/j65-w-16a";"
Engine model: J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";"J65-W-16A";;
"engine_model/r-3350-14";"
Engine model: R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";"R-3350-14";;
"engine_model/r-1820-67";"
Engine model: R-1820-67 Cyclone";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";"R-1820-67";;
"engine_model/r-1820-69";"
Engine model: R-1820-69 Cyclone";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";"R-1820-69";;
